id,car_model,fuel_type,transmission,price,odo,year,khv,vdk,blg
344,Toyota Corona Premio,бензин,АКПП,350000,352000.0,1998,1,0,0
345,Toyota Sprinter Carib,бензин,АКПП,500000,226100.0,1999,1,0,0
346,Toyota Land Cruiser,бензин,АКПП,650000,220000.0,1993,1,0,0
347,Toyota Allion,бензин,вариатор,995000,162000.0,2010,1,0,0
348,Toyota Corolla Spacio,бензин,автомат,300000,299999.0,1988,1,0,0
349,Toyota Corona,бензин,АКПП,169000,300000.0,1994,1,0,0
350,Toyota RAV4,бензин,АКПП,650000,260.0,2001,1,0,0
351,Toyota Passo,бензин,вариатор,370000,281000.0,2010,1,0,0
352,Toyota Corolla,бензин,вариатор,1400000,91000.0,2018,1,0,0
353,Toyota Corolla Axio,бензин,механика,940000,108781.0,2017,1,0,0
354,Toyota Land Cruiser,дизель,механика,2600000,295384.0,2005,1,0,0
355,Toyota Corona Premio,бензин,АКПП,310000,364840.0,2000,1,0,0
356,Toyota Wish,бензин,АКПП,755000,263000.0,2003,1,0,0
357,Toyota Wish,бензин,АКПП,755000,263000.0,2003,1,0,0
358,Toyota Mark II,бензин,АКПП,499000,367125.0,1993,1,0,0
359,Toyota Vitz,бензин,механика,250000,345000.0,2000,1,0,0
360,Toyota Mark II,бензин,АКПП,730000,372521.0,2001,1,0,0
